idOrganizacionPolitica,idExpediente,idJuradoUbicacion,idSolicitudLista,idTipoEleccion,strCarpeta,strCodExpediente,strDistritoElec,strEstadoLista,strJuradoElectoral,strOrganizacionPolitica,strRegion,strTipoOrganizacion,strUbigeo,idPlanGobierno,idProcesoElectoral,fecha_registro
2731,90910,1505,23011,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004500,APURIMAC,INSCRITO,ABANCAY,PODEMOS PERU,APURIMAC,PARTIDOS POLITICOS,030000,0,110,2021-03-14 14:20:15
4,90660,1527,22752,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004258,HUANUCO,INSCRITO,HUANUCO,ACCION POPULAR,HUANUCO,PARTIDOS POLITICOS,090000,0,110,2021-03-14 14:20:15
1257,90945,1517,22777,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004535,AMAZONAS,INSCRITO,CHACHAPOYAS,ALIANZA PARA EL PROGRESO,AMAZONAS,PARTIDOS POLITICOS,010000,0,110,2021-03-14 14:20:15
179,91048,1524,22902,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004637,AYACUCHO,INSCRITO,HUAMANGA,PARTIDO NACIONALISTA PERUANO,AYACUCHO,PARTIDOS POLITICOS,050000,0,110,2021-03-14 14:20:15
2160,91130,1505,23109,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004719,APURIMAC,INSCRITO,ABANCAY,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",APURIMAC,PARTIDOS POLITICOS,030000,0,110,2021-03-14 14:20:15
1257,90982,1536,22857,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004572,PERUANOS RESIDENTES EN EL EXTRANJERO,INSCRITO,LIMA CENTRO 1,ALIANZA PARA EL PROGRESO,LIMA,PARTIDOS POLITICOS,140101,0,110,2021-03-14 14:20:15
55,90899,1519,23069,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004489,LAMBAYEQUE,INSCRITO,CHICLAYO,PERU PATRIA SEGURA,LAMBAYEQUE,PARTIDOS POLITICOS,130000,0,110,2021-03-14 14:20:15
2218,90800,1519,22776,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004394,LAMBAYEQUE,INSCRITO,CHICLAYO,PARTIDO POLITICO NACIONAL PERU LIBRE,LAMBAYEQUE,PARTIDOS POLITICOS,130000,0,110,2021-03-14 14:20:15
1366,90504,1517,22584,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004109,AMAZONAS,INSCRITO,CHACHAPOYAS,FUERZA POPULAR,AMAZONAS,PARTIDOS POLITICOS,010000,0,110,2021-03-14 14:20:15
21,90990,1505,22824,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004580,APURIMAC,INSCRITO,ABANCAY,VICTORIA NACIONAL,APURIMAC,PARTIDOS POLITICOS,030000,0,110,2021-03-14 14:20:15
